paragrafo_id_imagem	questao_id	ordem_imagem_original	qtd_novos_paragrafos	novos_ids
134648	134643	1	1	900000793
134857	134854	1	16	900000794,900000795,900000796,900000797,900000798,900000799,900000800,900000801,900000802,900000803,900000804,900000805,900000806,900000807,900000808,900000809
134941	134938	1	4	900000810,900000811,900000812,900000813
135369	135366	1	1	900000814
135522	135517	3	1	900000815
135736	135732	2	1	900000816
135812	135809	1	1	900000817
135921	135918	1	1	900000818
135944	135941	1	1	900000819
135960	135956	2	1	900000820
136261	136257	2	1	900000821
