paragrafo_id_imagem	questao_id	ordem_imagem_original	qtd_novos_paragrafos	novos_ids
146706	146702	2	1	900000959
147029	147021	4	1	900000960
147027	147021	3	1	900000961
147025	147021	2	1	900000962
147133	147129	2	1	900000963
147186	147182	2	1	900000964
147210	147206	2	1	900000965
147448	147445	1	1	900000966
147499	147496	1	20	900000967,900000968,900000969,900000970,900000971,900000972,900000973,900000974,900000975,900000976,900000977,900000978,900000979,900000980,900000981,900000982,900000983,900000984,900000985,900000986
147591	147588	1	1	900000987
147617	147614	1	1	900000988
147720	147716	2	1	900000989
159325	159322	1	1	900000990
159338	159333	2	1	900000991
