paragrafo_id	tipo_conteudo	latex_proposto	obs
145086	latex_candidato	Salto — R$ \(26{,}3\) bilhões. É quanto o governo projeta que será o valor de todas as deduções médicas do Imposto de Renda em 2030; em 2017, essas deduções chegaram a R$ \(15{,}1\) bilhões.	card de reportagem, so texto/numero
147316	latex_candidato	População — População estimada [2018]: \(67.548\) pessoas. População no último censo [2010]: \(59.773\) pessoas. Densidade demográfica (2010): \(184{,}40\;\text{hab/km}^2\).	card de UI com icone decorativo; dado numerico extraido
147336	latex_candidato	\(\begin{array}{|l|c|c|c|}\hline & \textbf{Sim} & \textbf{Não} & \textbf{Total} \\\hline\text{Meninos} & 15 & & \\\hline\text{Meninas} & & 30 & 36 \\\hline\end{array}\)	tabela de dados (com celulas em branco propositais, parte do enunciado)
147536	manter_imagem		reta numerica com pontos 0, a, b, 1 marcados - diagrama de eixo, nao formula
147773	manter_imagem		grafico de pizza (Europa/Africa/America do Norte/Asia) - grafico estatistico, nao formula
17172	latex_candidato	\(\begin{cases}x-y+z=-1 \\x-z=-7 \\2x+3y+z=4\end{cases}\)	sistema de equacoes - candidato ideal
18586	manter_imagem		fotos de eletrodomesticos (geladeira/fogao) com preco - foto de produto, nao formula
22568	latex_candidato	\(\begin{cases}2x+(2+\operatorname{sen}\theta)y+2z=0 \\4x+5y+(3+\operatorname{sen}\theta)z=0 \\x+y+z=0\end{cases}\)	sistema de equacoes - candidato ideal
23753	manter_imagem		diagrama de prisma retangular (caixa 3D) com rotulos X, Y, 10cm - figura geometrica, nao formula
26514	latex_candidato	\(\dfrac{1}{\sqrt{5}}\left(\dfrac{1+\sqrt{5}}{2}\right)^2-\dfrac{1}{\sqrt{5}}\left(\dfrac{1-\sqrt{5}}{2}\right)^2\)	expressao matematica - candidato ideal
26682	manter_imagem		reta numerica de 0 a 7/7 com ponto x marcado entre 4/7 e 5/7 - diagrama de eixo, nao formula
27089	manter_imagem		padrao de triangulos sombreados (figura geometrica) - figura, nao formula
28382	latex_candidato	(I) \(\begin{cases}x-y=4 \\x+y=6\end{cases}\) e (II) \(\begin{cases}2x+ay=4 \\bx+y=16\end{cases}\)	dois sistemas de equacoes - candidato ideal
28960	manter_imagem		diagrama circular dividido em X, 1/3, 1/4 - figura geometrica, nao formula
33053	latex_candidato	\(\dfrac{2\cdot p\cdot r}{6\cdot q}\)	expressao/fracao algebrica simples
37131	latex_candidato	\(\begin{cases}5x+4y+3z=10 \\10x+8y+6z=20 \\-5x-4y-3z=-10\end{cases}\)	sistema de equacoes - candidato ideal
37676	manter_imagem		segmento de reta A-P-B com distancia 240 km - diagrama, nao formula
38938	manter_imagem		diagrama de grafo/rede (nos A-E com distancias e setas) - figura, nao formula
42856	manter_imagem		foto de lixeiras de reciclagem (papel/plastico/vidro/metal) - foto, nao formula
43779	latex_candidato	\(\begin{array}{|l|c|l|l|}\hline\textbf{Categoria} & \textbf{Faixa} & \textbf{m}^3 & \textbf{Água R\$} \\\hline & 1 & \text{até 10} & \text{35,89/mês} \\\text{Residencial "B"} & 2 & \text{11 a 25} & \text{6,5773/m}^3 \\& 3 & \text{26 a 50} & \text{9,2278/m}^3 \\& 4 & \text{maior que 50} & \text{11,0579/m}^3 \\& 5 & \text{Tarifa Sazonal} & \text{13,8221/m}^3 \\\hline\end{array}\)	tabela de dados (tarifa de agua)
