paragrafo_id_imagem	questao_id	ordem_imagem_original	qtd_novos_paragrafos	novos_ids
141155	141152	1	1	900000916
141677	141674	1	1	900000917
142148	142144	2	2	900000918,900000919
142640	142624	13	1	900000920
142662	142646	13	1	900000921
142689	142668	16	1	900000922
142684	142668	13	1	900000923
142708	142692	13	1	900000924
142730	142714	13	1	900000925
142786	142777	3	1	900000926
142782	142777	1	1	900000927
142824	142815	3	1	900000928
142820	142815	1	1	900000929
142843	142834	3	1	900000930
142839	142834	1	1	900000931
142905	142901	2	1	900000932
