paragrafo_id	tipo_conteudo	latex_proposto	obs
93516	manter_imagem		grafico de barras (clientes por dia da semana)
93533	manter_imagem		grafico de pizza (percentual populacional por regiao)
93571	manter_imagem		paralelepipedo com cotas 17,5m 14,5m 8m
93723	manter_imagem		triangulo retangulo com angulo x, cotas 4 e 3
93855	latex_candidato	\(\text{I}-\lim_{x\to 2}\dfrac{x^2-7x+10}{x^2-4}=\dfrac{-3}{4}\)<<P>>\(\text{II}-\lim_{x\to 3}\dfrac{x^2-9}{x-3}=6\)<<P>>\(\text{III}-\lim_{x\to 0}\dfrac{(2+x)^2-4}{x}=-4\)
93872	manter_imagem		tronco de piramide (frustum) com altura 9m, base b e B
93961	latex_candidato	\(\begin{array}{|c|c|}\hline \textbf{Órgão} & \textbf{Quantidade de Projetos}\\\hline A & 9\\\hline B & 4\\\hline C & 6\\\hline\end{array}\)
93978	manter_imagem		planta baixa de sala de atendimento com cotas 1,1,1,1 e altura 4
93987	latex_candidato	\(\begin{array}{|c|c|c|c|}\hline \textbf{Setor 1} & \textbf{Setor 2} & \textbf{Setor 3} & \textbf{Setor 4}\\\hline 12 & 17 & 8 & 15\\\hline\end{array}\)<<P>>\(\begin{array}{|c|c|c|c|}\hline \textbf{Setor 5} & \textbf{Setor 6} & \textbf{Setor 7} & \textbf{Setor 8}\\\hline 32 & 20 & 16 & 10\\\hline\end{array}\)
93996	latex_candidato	\(\begin{array}{|c|c|}\hline & \textbf{Arestas da base}\\\hline \textbf{Caixa I} & 10\text{ cm}\times 15\text{ cm}\\\hline \textbf{Caixa II} & 5\text{ cm}\times 20\text{ cm}\\\hline \textbf{Caixa III} & 10\text{ cm}\times 10\text{ cm}\\\hline \textbf{Caixa IV} & 13\text{ cm}\times 13\text{ cm}\\\hline\end{array}\)
94017	manter_imagem		grafico de pizza abstrato dividido em setores A B C (sem valores)
94026	latex_candidato	\(\begin{array}{|c|c|c|}\hline \textbf{Janeiro} & \textbf{Fevereiro} & \textbf{Março}\\\hline 50 & 70 & x\\\hline\end{array}\)
94054	latex_candidato	\(\text{Está com problemas para pagar seus boletos?}\)<<P>>\(\textbf{Temos uma solução}\)<<P>>\(\text{Pagamento feito 1 dia antes do vencimento – desconto de 5\%}\)<<P>>\(\text{Pagamento feito 2 dias antes do vencimento – desconto de 10\%}\)<<P>>\(\text{Pagamento feito 3 dias antes do vencimento – desconto de 15\%}\)	texto puro em caixa, sem ilustracao (padrao banner)
94077	latex_candidato	\(\begin{array}{|l|c|c|}\hline \textbf{Condição da saúde de acordo com o peso} & \textbf{Mulheres} & \textbf{Homens}\\\hline \text{Abaixo do peso} & \text{Menor do que }19{,}1 & \text{Menor do que }20{,}7\\\hline \text{No peso normal} & 19{,}1\text{–}25{,}8 & 20{,}7\text{–}26{,}4\\\hline \text{Marginalmente acima do peso} & 25{,}8\text{–}27{,}3 & 26{,}4\text{–}27{,}8\\\hline \text{Acima do peso ideal} & 27{,}3\text{–}32{,}3 & 27{,}8\text{–}31{,}1\\\hline \text{Obeso} & \text{Maior do que }32{,}3 & \text{Maior do que }31{,}1\\\hline\end{array}\)
94088	manter_imagem		triangulo ABC com angulos externos marcados em B e C (setas curvas)
94113	manter_imagem		2 triangulos (FIGURA 1 e 2) com vertices HE Vilao GA MV, base d e d/2
94205	manter_imagem		pentagrama inscrito em circulo (FIGURA 1)
94370	latex_candidato	\(\textbf{ELEITORES SEGUNDO SEXO E FAIXA ETÁRIA – 2016}\)<<P>>\(\begin{array}{|l|c|c|c|}\hline \textbf{Faixa etária (anos)} & \textbf{Masculino} & \textbf{Feminino} & \textbf{Total}\\\hline \text{De 16 a 17} & 85 & 97 & 182\\\hline \text{De 18 a 24} & 620 & 665 & 1.285\\\hline \text{De 25 a 34} & 793 & 861 & 1.654\\\hline \text{De 35 a 44} & 817 & 941 & 1.758\\\hline \text{De 45 a 59} & 1.198 & 1.337 & 2.535\\\hline \text{De 60 a 69} & 542 & 679 & 1.221\\\hline \text{De 70 anos e mais} & 315 & 282 & 597\\\hline \textbf{Total} & 4.370 & 4.862 & 9.232\\\hline\end{array}\)<<P>>\(\text{(Adaptado de: TSE. Disponível em: <www.ipardes.gov.br/cadernos/MontaCadPdf1.php?Municipio=86160\&btOk=ok>. Acesso em: 30 set. 2017.)}\)<<P>>\(\text{NOTA: Posição do cadastro de eleitores, no }\textit{site}\text{ da fonte, a partir de 2012, é em julho.}\)	imagem ampliada 3x p/ conferir citacao/URL
94381	latex_candidato	\(\textbf{ELEITORES SEGUNDO SEXO E FAIXA ETÁRIA – 2016}\)<<P>>\(\begin{array}{|l|c|c|c|}\hline \textbf{Faixa etária (anos)} & \textbf{Masculino} & \textbf{Feminino} & \textbf{Total}\\\hline \text{De 16 a 17} & 85 & 97 & 182\\\hline \text{De 18 a 24} & 620 & 665 & 1.285\\\hline \text{De 25 a 34} & 793 & 861 & 1.654\\\hline \text{De 35 a 44} & 817 & 941 & 1.758\\\hline \text{De 45 a 59} & 1.198 & 1.337 & 2.535\\\hline \text{De 60 a 69} & 542 & 679 & 1.221\\\hline \text{De 70 anos e mais} & 315 & 282 & 597\\\hline \textbf{Total} & 4.370 & 4.862 & 9.232\\\hline\end{array}\)<<P>>\(\text{(Adaptado de: TSE. Disponível em: <www.ipardes.gov.br/cadernos/MontaCadPdf1.php?Municipio=86160\&btOk=ok>. Acesso em: 30 set. 2017.)}\)<<P>>\(\text{NOTA: Posição do cadastro de eleitores, no }\textit{site}\text{ da fonte, a partir de 2012, é em julho.}\)	mesma tabela reutilizada da questao 94365
94394	manter_imagem		retangulo com moldura, cotas 2m 3m 3m 4m
