paragrafo_id	tipo_conteudo	latex_proposto	obs
89943	manter_imagem		mesmo grafico de barras (exportacoes) de 89926, reutilizado em outra questao
89979	manter_imagem		mesmo grafico de barras (exportacoes) de 89926, reutilizado em outra questao
90438	latex_candidato	Caneta: R$ \(3{,}50\). Calculadora: R$ \(3{,}00\). Borracha: R$ \(4{,}50\). Lapiseira: R$ \(6{,}50\). Levando um pacote com uma unidade de cada, você paga R$ \(14{,}00\).	ilustracoes dos itens sao decorativas; dado numerico extraido
90585	latex_candidato	\(\begin{array}{|l|r|}\hline\textbf{Profissional} & \textbf{Salário} \\\hline\text{Pedreiro na Bahia} & \text{R\$ 283,00} \\\text{Garçom no Rio de Janeiro} & \text{R\$ 327,00} \\\text{Aprendiz de maquinista da Vale do Rio Doce} & \text{R\$ 385,00} \\\text{Contínuo do governo paulista} & \text{R\$ 400,00} \\\text{Metalúrgico principiante do ABC paulista} & \text{R\$ 451,00} \\\text{Caixa de supermercado em Florianópolis} & \text{R\$ 480,00} \\\text{Operador de \textit{telemarketing}} & \text{R\$ 637,00} \\\hline\end{array}\)	tabela de dados
95274	manter_imagem		diagrama circular dividido em 1/4, 1/5, 1/2 com fatia destacada - figura geometrica, nao formula
96285	latex_candidato	\(\begin{array}{|l|r|}\hline\textbf{Produto} & \textbf{Preço (kg)} \\\hline\text{Camarão} & \text{R\$ 50,00} \\\text{Queijo A} & \text{R\$ 80,00} \\\text{Queijo B} & \text{R\$ 100,00} \\\text{Queijo C} & \text{R\$ 60,00} \\\hline\end{array}\)	tabela de dados
96324	manter_imagem		grade 2x2 com um quadrado pintado - diagrama de fracao, figura, nao formula
97163	latex_candidato	\(\begin{array}{|l|c|c|c|c|}\hline\textbf{País} & \textbf{Ouro} & \textbf{Prata} & \textbf{Bronze} & \textbf{Total} \\\hline\text{Estados Unidos} & 46 & 37 & 38 & 121 \\\text{Brasil} & 7 & 6 & 6 & 19 \\\text{Jamaica} & 6 & 3 & 2 & 11 \\\text{Cuba} & 5 & 2 & 4 & 11 \\\text{Canadá} & 4 & 3 & 15 & 22 \\\text{Colômbia} & 3 & 2 & 3 & 8 \\\text{Argentina} & 3 & 1 & 0 & 4 \\\text{Bahamas} & 1 & 0 & 1 & 2 \\\text{Porto Rico} & 1 & 0 & 0 & 1 \\\text{México} & 0 & 3 & 2 & 5 \\\hline\end{array}\)	tabela de dados (medalhas); simplifiquei o cabecalho mesclado "Medalhas>Tipos" para colunas diretas Ouro/Prata/Bronze/Total, mesma informacao
97197	latex_candidato	\(\begin{array}{|l|l|}\hline\textbf{Classificação} & \textbf{IMC} \\\hline\text{Magreza} & \text{Abaixo de 18,5} \\\text{Peso normal} & \text{Entre 18,6 e 24,9} \\\text{Sobrepeso} & \text{Entre 25 e 29,9} \\\text{Obesidade de grau I} & \text{Entre 30 e 34,9} \\\text{Obesidade de grau II} & \text{Entre 35 e 39,9} \\\text{Obesidade de grau III} & \text{Acima de 40} \\\hline\end{array}\)	tabela de dados
97223	latex_candidato	\(\begin{array}{|l|l|}\hline\textbf{Classificação} & \textbf{IMC} \\\hline\text{Magreza} & \text{Abaixo de 18,5} \\\text{Peso normal} & \text{Entre 18,6 e 24,9} \\\text{Sobrepeso} & \text{Entre 25 e 29,9} \\\text{Obesidade de grau I} & \text{Entre 30 e 34,9} \\\text{Obesidade de grau II} & \text{Entre 35 e 39,9} \\\text{Obesidade de grau III} & \text{Acima de 40} \\\hline\end{array}\)	mesma tabela IMC de 97197, reutilizada em outra questao
98175	manter_imagem		diagramas de barra (Figura 1/Figura 2) com segmentos pintados representando fracao - figura, nao formula
