paragrafo_id	tipo_conteudo	latex_proposto	obs
47243	manter_imagem		ilustracao (vila A / carro / cidade B) - figura, nao formula
51009	manter_imagem		mesmo diagrama circular X/1/3/1/4 de 28960, reutilizado em outra questao
51104	latex_candidato	\(\begin{cases}kx-y-z=0 \\x+y+z=0 \\x-ky+z=0\end{cases}\)	sistema de equacoes - candidato ideal
58866	latex_candidato	\(\begin{array}{|c|r|}\hline\textbf{Ano} & \textbf{Variação em relação à safra anterior} \\\hline2017 & -10{,}0\% \\2018 & +10{,}0\% \\2019 & -12{,}5\% \\2020 & +20{,}0\% \\\hline\end{array}\)	tabela de dados
59029	latex_candidato	\(\begin{cases}x-2y+z=-2 \\3x+y-z=-4 \\2x-y+4z=8\end{cases}\)	sistema de equacoes - candidato ideal
66512	manter_imagem		texto de reportagem longo com linhas numeradas (1-24) - a numeracao de linha e' relevante para a questao (referencias tipo "de acordo com a linha X"); o texto corrido de 1 paragrafo nao preserva quebras de linha nesta renderizacao (h:outputText sem pre-line), entao nao da p/ reproduzir a numeracao fielmente em latex - manter como imagem
73502	latex_candidato	\(\begin{cases}4B-C=18 \\6B+4C=38\end{cases}\)	sistema de equacoes - candidato ideal
73543	latex_candidato	\(\begin{cases}3C+3D=27 \\7C+3D=31\end{cases}\)	sistema de equacoes - candidato ideal
74379	latex_candidato	\(\begin{cases}x^2+y=54 \\2x-y=26\end{cases}\)	sistema de equacoes - candidato ideal
76366	manter_imagem		reta numerica com -2,0 / 0 / N marcados - diagrama de eixo, nao formula
83340	latex_candidato	\(\begin{cases}2x+3y+4z=5 \\6x+ay+bz=c\end{cases}\)	sistema de equacoes - candidato ideal
83668	latex_candidato	\(\begin{array}{|c|c|c|c|}\hline\textbf{Facas} & \textbf{Colheres} & \textbf{Garfos} & \textbf{Preço (R\$)} \\\hline1 & 2 & 3 & 23{,}50 \\2 & 5 & 6 & 50{,}00 \\2 & 3 & 4 & 36{,}00 \\\hline\end{array}\)	tabela de dados
8460	manter_imagem		grafico de pizza dividido em A/B/C/D - grafico, nao formula
85311	manter_imagem		diagrama geometrico em leque com angulos retos, lados 1, rotulos M/N/O/P - figura geometrica, nao formula
86368	latex_candidato	\(\begin{array}{|c|l|l|}\hline\textbf{Alíquota} & \textbf{Inferior a cinquenta anos} & \textbf{Cinquenta anos ou mais} \\\hline0\% & \text{Até os primeiros R\$ 10.000,00 de renda} & \text{Até os primeiros R\$ 15.000,00 de renda} \\20\% & \text{Faixa de renda acima de R\$ 10.000,00 e até R\$ 30.000,00} & \text{Faixa de renda acima de R\$ 15.000,00 e até R\$ 45.000,00} \\30\% & \text{Faixa de renda acima de R\$ 30.000,00} & \text{Faixa de renda acima de R\$ 45.000,00} \\\hline\end{array}\)	tabela de dados (aliquotas de imposto)
86944	manter_imagem		ilustracao (clip-art de menino amarrando o tenis) - figura decorativa, nao formula
87596	manter_imagem		diagrama de trajeto (Inicio/1/2/Fim, segmentos de 500m) - diagrama, nao formula
89371	manter_imagem		foto de tigelas com graos/frutas pretas - foto, nao formula
89673	latex_candidato	\(\begin{array}{|l|c|c|c|c|}\hline & \multicolumn{2}{c|}{\textbf{Modelo adulto}} & \multicolumn{2}{c|}{\textbf{Modelo infantil}} \\\textbf{Fantasias} & \text{V} & \text{Q} & \text{V} & \text{Q} \\\hline\text{Baiana} & \text{R\$ 180,00} & 10 & \text{R\$ 100,00} & 5 \\\text{Cigana} & \text{R\$ 105,00} & 6 & \text{R\$ 85,00} & 4 \\\text{Colombina} & \text{R\$ 120,00} & 5 & \text{R\$ 70,00} & 2 \\\text{Marinheiro} & \text{R\$ 95,00} & 2 & \text{R\$ 80,00} & X \\\text{Palhaço} & \text{R\$ 110,00} & Y & \text{R\$ 90,00} & 5 \\\hline\end{array}\)	tabela de dados (com incognitas X, Y nas quantidades)
89926	manter_imagem		grafico de barras (exportacoes em US$ bilhoes por ano) - grafico estatistico, nao formula
