paragrafo_id	questao_id	ordem	imagemfile_id	assunto	arquivo_local	status	tipo_conteudo	latex_proposto	obs
961	893	1	960	Combinatória	961_71dc6bf12bef0b761965.png	classificado	manter_imagem		foto de tela de celular (bloqueio)
930	927	2	937	Expressões Algébricas	930_71dc6bf12bef0b761965.png	inserido	latex_candidato	\(\begin{array}{|c|c|c|c|c|c|}\hline \varphi^2 & \varphi^3 & \varphi^4 & \varphi^5 & \varphi^6 & \varphi^7 \\\hline \varphi+1 & 2\varphi+1 & 3\varphi+2 & 5\varphi+3 & 8\varphi+5 & \ldots \\\hline\end{array}\)	
952	949	1	951	Notação Científica	952_71dc6bf12bef0b761965.png	classificado	manter_imagem		diagrama ilustrativo (nanofio vs fio de cabelo)
1080	1077	1	1088	MMC e MDC	1080_71dc6bf12bef0b761965.png	inserido	latex_candidato	\(\begin{array}{|c|l|}\hline \textbf{Linhas Municipais} & \textbf{Intervalos de saída} \\\hline A & \text{De 10 em 10 minutos} \\\hline B & \text{De 12 em 12 minutos} \\\hline C & \text{De 15 em 15 minutos} \\\hline D & \text{De 25 em 25 minutos} \\\hline\end{array}\)	
1093	1090	1	1092	MMC e MDC	1093_71dc6bf12bef0b761965.png	classificado	manter_imagem		diagrama de relógio analógico
1126	1123	1	1125	MMC e MDC	1126_71dc6bf12bef0b761965.png	classificado	manter_imagem		ilustração (família em ponto de ônibus)
1205	1202	1	1204	Regra de Três	1205_71dc6bf12bef0b761965.png	classificado	manter_imagem		diagrama de trajetória (duas semirretas com pontos A/B)
2034	2031	1	2033	MMC e MDC	2034_71dc6bf12bef0b761965.png	classificado	manter_imagem		reta numérica (pontos A-E com distâncias)
2074	2071	1	2073	MMC e MDC	2074_71dc6bf12bef0b761965.png	classificado	manter_imagem		diagrama de engrenagens
2106	2103	1	2105	MMC e MDC	2106_imagem-002.jpg	classificado	manter_imagem		diagrama de segmentos (reta numérica)
5821	5818	1	5820	Regra de Três	5821_QuestoesQ//Imagem//0.png	inserido	latex_candidato	\(\begin{array}{|l|l|}\hline \textbf{Produto} & \textbf{Preço por embalagem} \\\hline \text{Detergente} & \text{R\$11,20 embalagem com 5 litros} \\\hline \text{Álcool de limpeza} & \text{R\$115,04 embalagem com 20 litros} \\\hline\end{array}\)	
5882	5879	1	5881	Regra de Três	5882_QuestoesQ//Imagem//1.png	inserido	latex_candidato	\(\begin{array}{|l|l|l|l|}\hline \textbf{Quantidade comprada} & \textbf{Produto} & \textbf{Preço por unidade} & \textbf{Valor total de cada item} \\\hline \text{20 litros} & \text{Detergente} & \text{R\$11,20 embalagem com 5 litros} & \text{R\$44,80} \\\hline \text{20 panos} & \text{Panos de limpeza} & \text{R\$1,84 cada pano} & \text{R\$36,80} \\\hline \text{20 litros} & \text{Álcool de limpeza} & \text{R\$115,04 embalagem com 20 litros} & \text{R\$115,04} \\\hline\end{array}\)	
5930	5927	1	5929	Circunferência e Círculo / Polígonos Regulares	5930_QuestoesQ//Imagem//2.png	classificado	manter_imagem		logo/marca (+/-TEC)
5957	5948	4	5956	Área e Perímetro	5957_QuestoesQ//Imagem//6.png	classificado	manter_imagem		diagrama geométrico (retângulo com diagonal)
5966	5962	1	5965	Estatística	5966_QuestoesQ//Imagem//7.png	classificado	manter_imagem		gráfico de barras
5983	5979	1	5982	Conjuntos	5983_QuestoesQ//Imagem//8.png	classificado	manter_imagem		diagrama de Venn
6087	6083	1	6086	Regra de Três	6087_QuestoesQ//Imagem//9.png	inserido	latex_candidato	\(\begin{array}{|l|l|l|l|l|l|}\hline & \textbf{Empresa Altex} & \textbf{Empresa Blex} & \textbf{Empresa Clenex} & \textbf{Empresa Drex} & \textbf{Empresa Etrex} \\\hline \textbf{Detergente de louça Ultra Clean} & \text{R\$19,00 embalagem com 5 litros} & \text{R\$36,00 embalagem com 10 litros} & \text{R\$34,00 embalagem com 10 litros} & \text{R\$16,00 embalagem com 5 litros} & \text{R\$19,50 embalagem com 5 litros} \\\hline\end{array}\)	
6161	6157	1	6160	Probabilidade	6161_QuestoesQ//Imagem//10.png	classificado	manter_imagem		diagrama (braço robótico com posições A-E)
6171	6167	1	6170	Probabilidade	6171_QuestoesQ//Imagem//11.png	classificado	manter_imagem		diagrama (braço robótico com posições A-E) — mesma imagem de 6161
6181	6177	1	6180	Probabilidade	6181_QuestoesQ//Imagem//12.png	classificado	manter_imagem		diagrama (braço robótico com posições A-E) — mesma imagem de 6161
6191	6187	1	6190	Probabilidade	6191_QuestoesQ//Imagem//13.png	classificado	manter_imagem		diagrama (braço robótico com posições A-E)
6206	6202	1	6205	Probabilidade	6206_QuestoesQ//Imagem//14.png	classificado	manter_imagem		diagrama (braço robótico com posições A-E)
6453	6449	1	6452	Área e Perímetro	6453_QuestoesQ//Imagem//28.png	classificado	manter_imagem		diagrama geométrico (quadrado com altura e área)
6469	6466	1	6468	Área e Perímetro	6469_QuestoesQ//Imagem//29.png	classificado	manter_imagem		diagrama geométrico (polígono irregular com medidas)
6530	6524	1	6529	Estatística	6530_QuestoesQ//Imagem//30.png	classificado	manter_imagem		gráfico de barras + mapa do Brasil
6897	6891	3	6896	Semelhança de Triângulos	6897_QuestoesQ//Imagem//51.png	classificado	manter_imagem		diagrama geométrico (retas paralelas cortadas por transversais)
6926	6923	1	6925	Progressão Aritmética	6926_QuestoesQ//Imagem//56.png	inserido	latex_candidato	\(23,\ 32,\ 41,\ 50,\ 59,\ 68,\ \ldots\)	
6935	6932	1	6934	Juros e Desconto	6935_QuestoesQ//Imagem//57.png	inserido	latex_candidato	\(\begin{array}{l}\text{Pagamento à vista: R\$950,00} \\\text{Pagamento a prazo: R\$997,50}\end{array}\)	ilustração da cafeteira permanece como imagem, só o texto de preço virou parágrafo
6958	6954	1	6957	geometriaEspacial	6958_QuestoesQ//Imagem//58.png	classificado	manter_imagem		diagrama geométrico (cubo com dimensões)
6973	6970	1	6972	Área e Perímetro	6973_QuestoesQ//Imagem//59.png	classificado	manter_imagem		diagrama geométrico (quadrilátero com medidas)
7032	7029	1	7031	Estatística	7032_QuestoesQ//Imagem//60.png	classificado	manter_imagem		gráfico de linha (série histórica)
7065	7060	1	7064	Circunferência e Círculo	7065_QuestoesQ//Imagem//61.png	classificado	manter_imagem		diagrama geométrico (círculo com ângulo)
7093	7090	1	7092	Progressão Geométrica	7093_QuestoesQ//Imagem//64.png	classificado	manter_imagem		tirinha/quadrinho (humor)
7119	7116	1	7118	Função Afim	7119_QuestoesQ//Imagem//65.png	classificado	manter_imagem		charge/cartoon (humor)
7225	7221	2	7224	Estatística	7225_QuestoesQ//Imagem//70.png	inserido	latex_candidato	\(\begin{array}{|c|c|}\hline \textbf{frequência} & \textbf{nota} \\\hline 3 & 0 \\\hline 7 & 2 \\\hline 8 & 4 \\\hline 10 & 6 \\\hline 8 & 8 \\\hline 4 & 10 \\\hline\end{array}\)	
7232	7228	2	7231	Estatística	7232_QuestoesQ//Imagem//71.png	classificado	manter_imagem		histograma
7330	7326	2	7329	Razões Trigonométricas	7330_QuestoesQ//Imagem//74.png	classificado	manter_imagem		diagrama geométrico (triângulos com ângulos)
7337	7333	2	7336	Razões Trigonométricas	7337_QuestoesQ//Imagem//75.png	classificado	manter_imagem		diagrama geométrico (quadrado com diagonal e ângulo)
7344	7340	2	7343	Teorema de Pitágoras	7344_QuestoesQ//Imagem//76.png	classificado	manter_imagem		diagrama geométrico (composição de triângulos retângulos)
7356	7352	2	7355	Área e Perímetro	7356_QuestoesQ//Imagem//77.png	classificado	manter_imagem		diagrama geométrico (triângulo inscrito em retângulo)
7368	7364	2	7367	Circunferência e Círculo	7368_QuestoesQ//Imagem//78.png	classificado	manter_imagem		diagrama (círculos tangentes)
7526	7523	1	7525	Função Exponencial	7526_QuestoesQ//Imagem//80.png	inserido	latex_candidato	\(\operatorname{senh} x = \dfrac{e^x - e^{-x}}{2} \text{ e } \cosh x = \dfrac{e^x + e^{-x}}{2}\)	
