paragrafo_id	tipo_conteudo	latex_proposto	obs
115966	latex_candidato	\(\wedge\)	fragmento da lista de simbolos (questao 115956) - "Conector 'e'"
115969	latex_candidato	\(\vee\)	fragmento da lista de simbolos (questao 115956) - "Conector 'ou'"
115972	latex_candidato	\(\underline{\vee}\)	fragmento da lista de simbolos (questao 115956) - "Conector 'ou' exclusivo"
115975	latex_candidato	\(\neg\)	fragmento da lista de simbolos (questao 115956) - "Negacao da proposicao" (ultimo dos 6 simbolos, questao 115956 completa)
116004	manter_imagem		circulo com raio R
116014	manter_imagem		caixa 3D (aquario), cotas 20cm 30cm 50cm
116024	manter_imagem		chave de divisao (ABC dividido por 13, quociente 5 e resto 8) - notacao de algoritmo de divisao, mantida como imagem por ser layout especifico
116097	manter_imagem		grade com retangulo destacado
116325	manter_imagem		grafico de linha (taxa por trimestre)
116408	manter_imagem		mesmo grafico de linha reutilizado (taxa por trimestre)
116464	manter_imagem		mesmo grafico de linha reutilizado (3a ocorrencia)
116589	manter_imagem		mesmo grafico de linha com titulo completo e fonte (PNADC/T taxa de participacao forca de trabalho)
116768	manter_imagem		caixa 3D, cotas 3m 2m 1m
116777	manter_imagem		2 retangulos C1 C2, cotas 2,5 3 3,5 x
116795	manter_imagem		grafico de barras (atendimentos por dia da semana), x 5 7 6 2x
116826	latex_candidato	\(\begin{array}{|l|c|c|c|}\hline & \textbf{Período da manhã} & \textbf{Período da tarde} & \textbf{Porcentagem}\\\hline \textbf{Homens} & 12 & & 35\%\\\hline \textbf{Mulheres} & & & \\\hline \textbf{Total} & 50 & & 100\%\\\hline\end{array}\)	tabela com varias celulas vazias (a preencher pelo aluno) no original
117041	manter_imagem		triangulo retangulo, cotas X 13
117059	manter_imagem		retangulo (x, x+115) e triangulo (70, x+75)
117081	manter_imagem		piramide (12, x/6, x) e caixa 3D (14, 8, x-4)
117273	manter_imagem		triangulo retangulo, cotas 3 4 h (8o/ultimo item da questao 117262)
