paragrafo_id_imagem	questao_id	ordem_imagem_original	qtd_novos_paragrafos	novos_ids
17172	17169	1	1	900000001
22568	22565	1	1	900000002
26514	26510	2	1	900000003
28382	28378	2	1	900000004
33053	33050	1	1	900000005
37131	37128	1	1	900000006
43779	43776	1	1	900000007
51104	51101	1	1	900000008
58866	58862	2	1	900000009
59029	59025	2	1	900000010
73502	73499	1	1	900000011
73543	73540	1	1	900000012
74379	74376	1	1	900000013
83340	83337	1	1	900000014
83668	83665	1	1	900000015
86368	86364	2	1	900000016
89673	89669	2	1	900000017
90438	90435	0	1	900000018
90585	90582	0	1	900000019
96285	96281	2	1	900000020
97163	97160	1	1	900000021
97197	97191	3	1	900000022
97223	97217	3	1	900000023
100827	100824	1	3	900000024,900000025,900000026
102222	102219	1	1	900000027
105020	105014	4	1	900000028
130123	130120	0	1	900000029
130139	130136	0	1	900000030
133739	133736	1	1	900000031
134479	134476	1	1	900000032
134489	134486	1	1	900000033
134540	134537	1	1	900000034
134682	134679	1	1	900000035
134838	134835	0	1	900000036
134972	134967	3	3	900000037,900000038,900000039
135271	135261	7	1	900000040
136105	136102	1	1	900000041
136191	136188	1	1	900000042
136420	136417	1	1	900000043
136734	136731	1	1	900000044
136767	136764	1	1	900000045
136781	136778	1	1	900000046
137224	137220	2	1	900000047
138681	138678	1	1	900000048
139116	139113	1	1	900000049
139830	139827	1	1	900000050
141168	141165	1	1	900000051
142395	142392	1	1	900000052
142415	142411	2	1	900000053
145086	145083	1	1	900000054
147316	147313	1	1	900000055
147336	147333	1	1	900000056
