paragrafo_id_imagem	questao_id	ordem_imagem_original	qtd_novos_paragrafos	novos_ids
139025	139021	2	1	900000884
139093	139090	1	11	900000885,900000886,900000887,900000888,900000889,900000890,900000891,900000892,900000893,900000894,900000895
139131	139128	1	1	900000896
139140	139137	1	3	900000897,900000898,900000899
139163	139160	1	2	900000900,900000901
139427	139424	1	3	900000902,900000903,900000904
139467	139464	1	1	900000905
139849	139846	1	3	900000906,900000907,900000908
139991	139988	1	1	900000909
140978	140967	5	1	900000910
140976	140967	4	1	900000911
140974	140967	3	1	900000912
140972	140967	2	1	900000913
140970	140967	1	1	900000914
140991	140988	1	1	900000915
