paragrafo_id_imagem	questao_id	ordem_imagem_original	qtd_novos_paragrafos	novos_ids
138069	138063	3	2	900000830,900000831
138099	138096	1	3	900000832,900000833,900000834
138158	138155	1	1	900000835
138194	138191	1	3	900000836,900000837,900000838
138211	138208	1	1	900000839
138220	138217	1	6	900000840,900000841,900000842,900000843,900000844,900000845
138242	138239	1	4	900000846,900000847,900000848,900000849
138374	138371	1	1	900000850
138435	138428	4	1	900000851
138430	138428	0	1	900000852
138443	138441	0	2	900000853,900000854
138473	138470	1	1	900000855
138609	138606	1	12	900000856,900000857,900000858,900000859,900000860,900000861,900000862,900000863,900000864,900000865,900000866,900000867
138623	138620	1	1	900000868
138672	138669	1	7	900000869,900000870,900000871,900000872,900000873,900000874,900000875
138700	138697	1	4	900000876,900000877,900000878,900000879
138723	138720	1	1	900000880
138742	138738	2	1	900000881
138765	138762	1	1	900000882
138781	138778	1	1	900000883
